frequency_THz,T_paper,T_computed,T_difference,R_paper,R_computed,R_difference,A_paper,A_computed,A_difference
430.3454816912,0.8458220452,0.84786306290965,0.0020410177096499282,0.0063638778,0.005749923884337959,-0.0006139539156620405,0.0019654714,0.001638364166446027,-0.00032710723355397313
432.8331329434,0.7919787517,0.7922783742159668,0.0002996225159668242,0.011750332,0.011530067664002046,-0.00022026433599795468,0.0019654714,0.002164664065554045,0.00019919266555404498
435.1999994756,0.7567383798,0.7577540356084063,0.001015655808406235,0.0166480744,0.016226754679073637,-0.0004213197209263636,0.0024541833,0.0026011782067990596,0.00014699490679905957
437.6850808401,0.7307941567,0.7306460654333833,-0.00014809126661674554,0.0205577689,0.02055160092251944,-6.1679774805596665e-06,0.0029428951,0.0029498704079722327,6.975307972232562e-06
440.05451726,0.7097370518,0.7101113714999876,0.00037431969998757975,0.0244780876,0.024218876416150878,-0.0002592111838491222,0.0029428951,0.0032022503733697416,0.0002593552733697415
442.4213837923,0.6926108898,0.6931252328205864,0.0005143430205863941,0.0278990704,0.02751627536885262,-0.00038279503114738156,0.0034316069,0.003413580628933932,-1.802627106606801e-05
444.9090350444,0.6779282869,0.678042587075855,0.00011430017585500885,0.0308419655,0.03064975203294447,-0.00019221346705552977,0.0034316069,0.0036158590118936518,0.00018425211189365166
447.2759015767,0.6652005312,0.6657037178514128,0.0005031866514128014,0.0337742364,0.03336012250676077,-0.0004141138932392263,0.0039203187,0.0038032033544280752,-0.00011711534557192448
449.7635528288,0.6544276228,0.6543927295304028,-3.4893269597158216e-05,0.0362284197,0.035963147648681186,-0.0002652720513188142,0.0039203187,0.003995916003339595,7.559730333959493e-05
452.1304193611,0.6446427623,0.6449041942245892,0.00026143192458927267,0.0386719788,0.038235966019732066,-0.0004360127802679331,0.0044090305,0.0041657760488073015,-0.0002432544511926987
454.499855781,0.6363240372,0.6364362688049736,0.00011223160497364493,0.040626826,0.040334715806888154,-0.00029211019311184416,0.0044090305,0.004317806997538365,-9.122350246163532e-05
456.9849371454,0.6284833997,0.6284954061753195,1.200647531951482e-05,0.0425816733,0.04236495537521989,-0.00021671792478010488,0.0044090305,0.004468234511301183,5.920401130118328e-05
459.3543735654,0.6216414343,0.6216888882386385,4.745393863858638e-05,0.0445471448,0.04415460138633363,-0.0003925434136663672,0.0048977424,0.0046080134626905744,-0.00028972893730942577
461.8394549298,0.6152775564,0.6152383523458356,-3.9204054164465596e-05,0.0460132802,0.04589416076056244,-0.00011911943943755665,0.0048977424,0.004748841419294214,-0.0001489009807057861
