profile,label,frequency_THz,order,harmonics,grid,epsilon_real,epsilon_imag,R_x,T_x,A_x,R0_x,T0_x,balance_x,polarization_delta_T,minimum_jacobian,elapsed_s,revision,R_y,T_y,A_y,R0_y,T0_y,balance_y,device,torch_version
weiss2009,matched coordinates + ASR,266.0063057906,12,625,256,-66.01557193904029,3.4081825919687763,0.07477878572056272,0.9174056660770046,0.007815548202432687,0.07477878572056272,0.9174056660770046,0.9921844517975673,6.349476500133733e-12,5.101560566760088e-06,2.438579789013602,weiss2009-v1-fixed-interface-eq41,0.07477878571860366,0.9174056660706551,0.007815548210741263,0.07477878571860366,0.9174056660706551,0.9921844517892587,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,268.3757422106,12,625,256,-64.84044705852277,3.3188572263148157,0.07796623252128805,0.9139350029043904,0.00809876457432146,0.07796623252128805,0.9139350029043904,0.9919012354256785,2.3411272920270676e-12,5.101560566760088e-06,2.415992341004312,weiss2009-v1-fixed-interface-eq41,0.07796623252173507,0.9139350029020493,0.008098764576215611,0.07796623252173507,0.9139350029020493,0.9919012354237844,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,270.860823575,12,625,256,-63.64084190058779,3.2284931322169763,0.08149943327561066,0.9101066874462114,0.008393879278177918,0.08149943327561066,0.9101066874462114,0.9916061207218221,8.464340339742193e-13,5.101560566760088e-06,2.4166616320144385,weiss2009-v1-fixed-interface-eq41,0.08149943327529162,0.9101066874470578,0.008393879277650562,0.08149943327529162,0.9101066874470578,0.9916061207223494,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,273.2302599949,12,625,256,-62.527309804176106,3.1453626587060817,0.08507162152617317,0.906248486406111,0.0086798920677158,0.08507162152617317,0.906248486406111,0.9913201079322842,1.4210854715202004e-13,5.101560566760088e-06,2.3887542131124064,weiss2009-v1-fixed-interface-eq41,0.08507162152679507,0.9062484864059689,0.008679892067236072,0.08507162152679507,0.9062484864059689,0.9913201079327639,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,275.5971265272,12,625,256,-61.44344413775705,3.065146391372825,0.08885026702171381,0.9021633861767329,0.008986346801553302,0.08885026702171381,0.9021633861767329,0.9910136531984467,5.19262410847432e-12,5.101560566760088e-06,2.4019740379881114,weiss2009-v1-fixed-interface-eq41,0.08885026702214309,0.9021633861819255,0.008986346795931466,0.08885026702214309,0.9021633861819255,0.9910136532040685,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,278.0847777793,12,625,256,-60.33387170639001,2.98374855256041,0.0930636499970941,0.897610179801826,0.009326170201079953,0.0930636499970941,0.897610179801826,0.9906738297989202,1.865840815185038e-12,5.101560566760088e-06,2.4395986390300095,weiss2009-v1-fixed-interface-eq41,0.09306364999763668,0.8976101798036918,0.009326170198671435,0.09306364999763668,0.8976101798036918,0.9906738298013286,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,280.4516443116,12,625,256,-59.30538113003202,2.908955872456288,0.09731952054541398,0.893014146422058,0.009666333032527952,0.09731952054541398,0.893014146422058,0.990333666967472,1.5744072712209345e-12,5.101560566760088e-06,2.4056508670328185,weiss2009-v1-fixed-interface-eq41,0.09731952054539525,0.8930141464236324,0.009666333030972307,0.09731952054539525,0.8930141464236324,0.9903336669690277,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,282.9367256761,12,625,256,-58.25309415934732,2.833092588264268,0.10207028218711545,0.8879012353776164,0.010028482435268105,0.10207028218711545,0.8879012353776164,0.9899715175647319,2.1398438576625267e-12,5.101560566760088e-06,2.3887627250514925,weiss2009-v1-fixed-interface-eq41,0.1020702821862525,0.8879012353754766,0.010028482438270925,0.1020702821862525,0.8879012353754766,0.9899715175617291,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,285.306162096,12,625,256,-57.27519861586072,2.763195850223912,0.10690110705981272,0.8827140524675096,0.010384840472677737,0.10690110705981272,0.8827140524675096,0.9896151595273223,2.2359891715950653e-13,5.101560566760088e-06,2.405722444993444,weiss2009-v1-fixed-interface-eq41,0.10690110706105997,0.8827140524677332,0.010384840471206913,0.10690110706105997,0.8827140524677332,0.9896151595287931,cuda,2.6.0+cu124
weiss2009,matched coordinates + ASR,287.6730286282,12,625,256,-56.32231749295886,2.695650923096006,0.11204142194410763,0.8771627367606802,0.01079584129521216,0.11204142194410763,0.8771627367606802,0.9892041587047878,1.5121237595394632e-13,5.101560566760088e-06,2.401414431980811,weiss2009-v1-fixed-interface-eq41,0.11204142194494943,0.8771627367608315,0.010795841294219066,0.11204142194494943,0.8771627367608315,0.9892041587057809,cuda,2.6.0+cu124
