wavelength_nm,order,slices,grid,epsilon_gold_real,epsilon_gold_imag,reflectance,transmittance_far,absorptance_total,motheye_absorptance,substrate_absorptance,power_into_substrate,passivity_warning,reduced_dimension,full_dimension,symmetry_reduction,symmetry_irrep,runtime_seconds
700.0,6,48,96,-13.754263491271207,1.9104862668338753,0.4998180644356869,0.0,0.5001819355643131,0.39191780474779,0.10826413081652313,0.10826413081652313,False,43,338,D6-E1-source-row,E1,7.508513088978361
400.0,6,48,192,-1.0611633694991678,4.9206873818569425,3.8834919271028664e-05,0.0,0.999961165080729,0.9720346946172718,0.027926470463457236,0.027926470463457236,False,43,338,D6-E1-source-row,E1,7.654598824999994
550.0,6,48,192,-5.371371338856619,2.3581635829859637,0.03579210961029172,0.0,0.9642078903897082,0.8407839978698963,0.12342389251981195,0.12342389251981195,False,43,338,D6-E1-source-row,E1,7.501615368993953
700.0,6,48,192,-13.754263491271207,1.9104862668338753,0.4998734644572114,0.0,0.5001265355427886,0.39153855824523176,0.10858797729755686,0.10858797729755686,False,43,338,D6-E1-source-row,E1,7.486087022989523
400.0,6,12,128,-1.0611633694991678,4.9206873818569425,2.714483589912586e-05,0.0,0.9999728551641008,0.9770255136516657,0.022947341512435143,0.022947341512435143,False,43,338,D6-E1-source-row,E1,1.9212773269973695
550.0,6,12,128,-5.371371338856619,2.3581635829859637,0.011510224110875829,0.0,0.9884897758891241,0.912256400365209,0.07623337552391503,0.07623337552391503,False,43,338,D6-E1-source-row,E1,1.8791476490150671
700.0,6,12,128,-13.754263491271207,1.9104862668338753,0.33174576255192006,0.0,0.66825423744808,0.5754395923093593,0.0928146451387207,0.0928146451387207,False,43,338,D6-E1-source-row,E1,1.8941582060069777
400.0,6,16,128,-1.0611633694991678,4.9206873818569425,2.021589634389099e-05,0.0,0.9999797841036561,0.97526031699288,0.024719467110776154,0.024719467110776154,False,43,338,D6-E1-source-row,E1,2.490955090994248
550.0,6,16,128,-5.371371338856619,2.3581635829859637,0.02225801190275885,0.0,0.9777419880972411,0.8796755524341948,0.09806643566304624,0.09806643566304624,False,43,338,D6-E1-source-row,E1,2.480158737016609
700.0,6,16,128,-13.754263491271207,1.9104862668338753,0.34195079990279975,0.0,0.6580492000972002,0.5614134071353811,0.09663579296181918,0.09663579296181918,False,43,338,D6-E1-source-row,E1,2.50401121401228
400.0,6,24,128,-1.0611633694991678,4.9206873818569425,3.918082866532284e-05,0.0,0.9999608191713347,0.973451810674424,0.026509008496910694,0.026509008496910694,False,43,338,D6-E1-source-row,E1,3.73187806198257
