study,method,factorization_rules,frequency_GHz,wavelength_mm,order_x,order_y,harmonics,modal_dimension,grid_x,grid_y,quadrature_grid,asr_G,cascade,dtype,device,propagating_orders_air,R00,T00,R_total,T_total,delta_R,delta_T,A_total,power_balance,passivity_violation,cond_T,elapsed_s,numerics_revision
fig8,ASR-FR,True,5.68,52.78036232394366,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.10110884903275268,0.8927839383622216,0.10110884903275268,0.8927839383622216,0.0,0.0,0.00610721260502578,0.9938927873949742,0.0,,0.1648766070138663,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,5.84,51.334325,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.1102762545191994,0.8825534175343113,0.1102762545191994,0.8825534175343113,0.0,0.0,0.007170327946489308,0.9928296720535107,0.0,,0.16090147499926388,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,6.0,49.965409666666666,8,8,289,578,256,256,4096,0.001,redheffer,complex128,cuda,1,0.12066177226933962,0.8727586833401374,0.12066177226933962,0.8727586833401374,0.0,0.0,0.0065795443905229956,0.993420455609477,0.0,,0.1554089761339128,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,6.0,49.965409666666666,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.12066177226934136,0.8727586833401486,0.12066177226934136,0.8727586833401486,0.0,0.0,0.006579544390510006,0.99342045560949,0.0,,0.16463669599033892,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,6.16,48.66760681818182,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.13262789877742504,0.8616267629519665,0.13262789877742504,0.8616267629519665,0.0,0.0,0.005745338270608524,0.9942546617293915,0.0,,0.16282828501425683,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,6.32,47.43551550632911,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.14607310188153833,0.8486162798416534,0.14607310188153833,0.8486162798416534,0.0,0.0,0.005310618276808232,0.9946893817231918,0.0,,0.1626061201095581,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,6.48,46.26426820987654,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.16109436620108225,0.8337327449208268,0.16109436620108225,0.8337327449208268,0.0,0.0,0.005172888878090864,0.9948271111219091,0.0,,0.1626662800554186,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,6.5,46.12191661538462,8,8,289,578,256,256,4096,0.001,redheffer,complex128,cuda,1,0.16309351875817957,0.8317366788685341,0.16309351875817957,0.8317366788685341,0.0,0.0,0.005169802373286347,0.9948301976267137,0.0,,0.15419565397314727,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,6.64,45.14946656626506,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.17792372067040205,0.8168656243422366,0.17792372067040205,0.8168656243422366,0.0,0.0,0.005210654987361285,0.9947893450126387,0.0,,0.16277610580436885,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,6.8,44.08712617647059,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.19686649934241018,0.7977751295602536,0.19686649934241018,0.7977751295602536,0.0,0.0,0.0053583710973361676,0.9946416289026638,0.0,,0.16319710901007056,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,6.96,43.073629022988506,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.21829603540356407,0.776121555809517,0.21829603540356407,0.776121555809517,0.0,0.0,0.005582408786918958,0.994417591213081,0.0,,0.16583272512070835,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,7.0,42.827494,8,8,289,578,256,256,4096,0.001,redheffer,complex128,cuda,1,0.22409310152889866,0.7702590046271757,0.22409310152889866,0.7702590046271757,0.0,0.0,0.005647893843925722,0.9943521061560743,0.0,,0.15445519308559597,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,7.12,42.105682303370784,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.24266573106500194,0.7514712952302867,0.24266573106500194,0.7514712952302867,0.0,0.0,0.005862973704711338,0.9941370262952887,0.0,,0.16275052796117961,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,7.28,41.18028269230769,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.2705278750763596,0.7232894830276834,0.2705278750763596,0.7232894830276834,0.0,0.0,0.006182641895956964,0.993817358104043,0.0,,0.16305989399552345,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,7.44,40.29468521505376,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.30255782813990745,0.6909277723897841,0.30255782813990745,0.6909277723897841,0.0,0.0,0.006514399470308518,0.9934856005296915,0.0,,0.16189348511397839,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,7.5,39.97232773333334,8,8,289,578,256,256,4096,0.001,redheffer,complex128,cuda,1,0.31580725769666845,0.6775610451084099,0.31580725769666845,0.6775610451084099,0.0,0.0,0.006631697194921626,0.9933683028050784,0.0,,0.1539650170598179,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,7.6000000000000005,39.44637605263158,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.33958650414754665,0.6536149613074496,0.33958650414754665,0.6536149613074496,0.0,0.0,0.006798534545003787,0.9932014654549962,0.0,,0.16224111709743738,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,7.76,38.63304871134021,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.3826581700242417,0.6104617563206098,0.3826581700242417,0.6104617563206098,0.0,0.0,0.006880073655148422,0.9931199263448516,0.0,,0.1613934321794659,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,7.92,37.85258308080808,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.4332116824224941,0.5604715617162348,0.4332116824224941,0.5604715617162348,0.0,0.0,0.006316755861271117,0.9936832441387289,0.0,,0.1636471739038825,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,8.0,37.47405725,8,8,289,578,256,256,4096,0.001,redheffer,complex128,cuda,1,0.46201610330522663,0.5325068672072487,0.46201610330522663,0.5325068672072487,0.0,0.0,0.005477029487524598,0.9945229705124754,0.0,,0.15203345706686378,fig8-v2-q-modes-separable-quadrature
fig8,ASR-FR,True,8.08,37.103026980198024,8,8,289,578,256,256,4096,0.001,algo2a,complex128,cuda,1,0.4938376865883446,0.5020487804234554,0.4938376865883446,0.5020487804234554,0.0,0.0,0.004113532988200053,0.9958864670118,0.0,,0.16291438112966716,fig8-v2-q-modes-separable-quadrature
